novel,quote_id,gold_speaker,quote_text,candidates,explicit_mentions,previous_participants
TheSignOfTheFour,Q440,Dr. Watson,It would be a great pleasure to me.,"['Mr. Sherlock Holmes', 'Mr. Athelney Jones']","['Mr. Athelney Jones', 'Mr. Sherlock Holmes']","['Mr. Sherlock Holmes', 'Mr. Athelney Jones']"
HardTimes,Q59,Mrs. Gradgrind,"I hadn't a shoe to my foot.  As to a stocking, I didn't know such a
thing by name.  I passed the day in a ditch, and the night in a pigsty.
That's the way I spent my tenth birthday.  Not that a ditch was new to
me, for I was born in a ditch.","['Louisa Bounderby', 'Josiah Bounderby', 'Thomas Gradgrind']",['Josiah Bounderby'],"['Louisa Bounderby', 'Thomas Gradgrind']"
TheInvisibleMan,Q40,Mrs. Hall,"I thought, sir, you d prefer the clock","['Mr. Teddy Henfrey', 'The Invisible Man']","['The Invisible Man', 'The Invisible Man', 'Mr. Teddy Henfrey', 'The Invisible Man']","['Mr. Teddy Henfrey', 'The Invisible Man']"
HowardsEnd,Q1498,Helen,"Yes, there is a mystery.
I can t help it. It s not my fault. It s the way life has been made.","['Henry', 'Aunt Juley', 'Margaret']",['Margaret'],"['Henry', 'Aunt Juley', 'Margaret']"
WhereAngelsFearToTread,Q353,Irma,"Who
is my little brother? Why have I never heard of him before? Grandmamma!
Grandmamma! Who is my little brother? Who is my--","['Caroline Abbott', 'Mr. Herriton', 'Harriet']",['Harriet'],"['Caroline Abbott', 'Mr. Herriton', 'Harriet']"
TheGambler,Q712,The General,"Yes,
yes my children, Yes, you are
right in what you have said about them.","['Alexis Ivanovitch', 'Mlle. Blanche']","['Alexis Ivanovitch', 'Alexis Ivanovitch', 'Alexis Ivanovitch']","['Alexis Ivanovitch', 'Mlle. Blanche']"
AlicesAdventuresInWonderland,Q529,The Gryphon,"Oh, _you_ sing, I've forgotten the words.","['The Mock Turtle', 'Alice']","['The Mock Turtle', 'The Mock Turtle', 'Alice']","['The Mock Turtle', 'Alice']"
TheMysteriousAffairAtStyles,Q1102,Mr. Hastings,Do you think it is _the_ one?,"['Dorcas', 'Hercule Poirot']","['Hercule Poirot', 'Hercule Poirot']","['Dorcas', 'Hercule Poirot']"
NightAndDay,Q11,"A Thin, Elderly Gentleman","There is the University,","['Mrs. Hilbery', 'Mr. Fortescue', 'Katharine Hilbery', 'Mr. Hilbery', 'Ralph Denham']","['Mr. Hilbery', 'Ralph Denham', 'Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue']","['Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue', 'Ralph Denham']"
HardTimes,Q479,Cecilia Jupe,"I am afraid it would, sir,","['Stephen Blackpool', 'Thomas Gradgrind']","['Thomas Gradgrind', 'Thomas Gradgrind']","['Stephen Blackpool', 'Thomas Gradgrind']"
HardTimes,Q294,Cecilia Jupe,"To do unto others as I
would that they should do unto me.","['Louisa Bounderby', 'Mrs. Gradgrind', ""Mr. M'choakumchild""]","[""Mr. M'choakumchild""]","['Louisa Bounderby', ""Mr. M'choakumchild"", 'Mrs. Gradgrind']"
TheMysteriousAffairAtStyles,Q1729,Mr. Hastings,"Do you mean that the murderer introduced the strychnine into her
tonic?","['Dorcas', 'Mr. Lawrence Cavendish', 'Annie', 'Mr. Inglethorp', 'Evelyn Howard', 'Japp', 'Miss Murdoch', 'Hercule Poirot', 'Summerhaye', 'Mary Cavendish', 'Mrs. Inglethorp']","['Mrs. Inglethorp', 'Mary Cavendish', 'Dorcas', 'Hercule Poirot', 'Mr. Inglethorp', 'Miss Murdoch', 'Evelyn Howard', 'Mr. Lawrence Cavendish', 'Japp', 'Summerhaye', 'Annie']","['Mr. Lawrence Cavendish', 'Hercule Poirot']"
TheManWhoWasThursday,Q786,Gabriel Syme,"No, I do not feel fierce like that. I am grateful to you,
not only for wine and hospitality here, but for many a fine scamper and
free fight. But I should like to know. My soul and heart are as happy
and quiet here as this old garden, but my reason is still crying out. I
should like to know.","['Professor De Worms', 'The Secretary', 'Dr. Bull', 'Gogol', 'Inspector Ratcliffe', 'The President']","['The President', 'Professor De Worms', 'Inspector Ratcliffe', 'Gogol', 'The Secretary', 'Dr. Bull', 'The President']","['The Secretary', 'The President']"
HowardsEnd,Q342,Helen,Careful over what?,"['Fraulein Mosebach', 'Aunt Juley', 'Margaret']","['Aunt Juley', 'Margaret', 'Fraulein Mosebach']","['Aunt Juley', 'Margaret']"
TheSunAlsoRises,Q495,Jake Barnes,Fine.,"['Robert Cohn', 'Frances Clyne']","['Frances Clyne', 'Robert Cohn']","['Robert Cohn', 'Frances Clyne']"
HardTimes,Q114,Cecilia Jupe,"Dear, no, sir!  It's the nine oils.","['Josiah Bounderby', 'Bitzer', 'Thomas Gradgrind']","['Josiah Bounderby', 'Thomas Gradgrind', 'Josiah Bounderby']","['Josiah Bounderby', 'Bitzer', 'Thomas Gradgrind']"
DaisyMiller,Q28,Winterbourne,Are you going to Italy?,"['Randolph', 'Daisy Miller']","['Daisy Miller', 'Daisy Miller', 'Randolph']","['Randolph', 'Daisy Miller']"
AHandfulOfDust,Q2190,Mr Graceful,"I should have thought that was really
a question for your bank manager. I understand that your securities are
in your own name and that the dividends are paid into your account.","['Tony Last', 'Brenda', 'Dr Messinger']","['Brenda', 'Brenda', 'Brenda', 'Brenda', 'Brenda']","['Tony Last', 'Brenda', 'Dr Messinger']"
WhereAngelsFearToTread,Q16,Irma,"And, Granny, when will the old ship get to Italy?","['Lilia', 'Mrs. Theobald', 'Mr. Kingcroft', 'Mrs. Herriton', 'Mr. Herriton']","['Mrs. Herriton', 'Mr. Herriton', 'Mrs. Herriton']","['Lilia', 'Mr. Kingcroft', 'Mrs. Herriton', 'Mrs. Theobald']"
APassageToIndia,Q346,Dr. Panna Lal,"Dr. Aziz, Dr. Aziz, where you been? I waited ten full minutes'
time at your house, then I went.","['_group', 'Dr. Aziz', 'A Stray Subaltern']","['Dr. Aziz', 'Dr. Aziz', 'Dr. Aziz', 'Dr. Aziz', 'Dr. Aziz']","['_group', 'Dr. Aziz', 'A Stray Subaltern']"
TheInvisibleMan,Q153,Mrs. Hall,"Him and his
 go to the devil  indeed!","['Mr. Hall', 'Mr. Sandy Wadgers', 'The Invisible Man']","['The Invisible Man', 'The Invisible Man']","['Mr. Hall', 'Mr. Sandy Wadgers', 'The Invisible Man']"
ARoomWithAView,Q418,The Driver,would she like to see them?,"['Lucy', 'Miss Bartlett']","['Lucy', 'Lucy']","['Lucy', 'Miss Bartlett']"
Emma,Q1290,Emma,Where--may I ask?--is Miss Fairfax going?,"['Miss Bates', 'Mrs. Bates', 'Jane Fairfax']","['Jane Fairfax', 'Miss Bates', 'Mrs. Bates']",['Miss Bates']
NightAndDay,Q142,William Rodney,In undertaking to speak of the Elizabethan use of metaphor in poetry,"['Katharine Hilbery', 'Mary Datchet', 'Ralph Denham']","['Ralph Denham', 'Katharine Hilbery', 'Mary Datchet']","['Mary Datchet', 'Ralph Denham']"
OliverTwist,Q1999,Mrs. Bolter,"I should like that well enough, dear, but tills
ain't to be emptied every day, and people to get clear off after it.","['Fagin', 'Barney', 'Noah Claypole']","['Noah Claypole', 'Noah Claypole']","['Fagin', 'Barney', 'Noah Claypole']"
TheInvisibleMan,Q148,The Invisible Man,Look there!,"['Mr. Hall', 'Mrs. Hall', 'Mr. Sandy Wadgers', 'Huxter']","['Mr. Hall', 'Mrs. Hall', 'Huxter', 'Mr. Sandy Wadgers']","['Mr. Hall', 'Mrs. Hall', 'Mr. Sandy Wadgers']"
Emma,Q1063,Mr. Knightley,"Yes, it is Randalls that does it all.","['Emma', 'Mr. John Knightley']","['Emma', 'Mr. John Knightley']","['Emma', 'Mr. John Knightley']"
TheManWhoWasThursday,Q675,Dr. Bull,"My spectacles are blackguardly, but I'm not. Look at my
face.","['Professor De Worms', 'The Secretary', 'Gogol', 'Inspector Ratcliffe', 'The President', 'Gabriel Syme']","['The President', 'Professor De Worms', 'Inspector Ratcliffe', 'Gogol', 'The Secretary', 'Gabriel Syme']","['The Secretary', 'Gabriel Syme', 'The President']"
OliverTwist,Q1770,Fagin,"What's the matter here, my dear?","['Bill Sikes', 'Nance', 'Charley Bates', 'The Artful Dodger']","['Bill Sikes', 'Bill Sikes', 'The Artful Dodger', 'Charley Bates']","['Bill Sikes', 'Nance']"
AlicesAdventuresInWonderland,Q511,The Gryphon,"Why, you first form into a line along the
sea-shore--","['The Mock Turtle', 'Alice']","['The Mock Turtle', 'Alice']","['The Mock Turtle', 'Alice']"
TheMysteriousAffairAtStyles,Q1693,Evelyn Howard,"If that man comes into the house, I leave it!","['Dorcas', 'Inglethorp', 'Annie', 'Mr. Lawrence Cavendish', 'Mr. Hastings', 'Japp', 'Miss Murdoch', 'Hercule Poirot', 'Summerhaye', 'Mary Cavendish']","['Inglethorp', 'Mary Cavendish', 'Dorcas', 'Hercule Poirot', 'Annie', 'Miss Murdoch', 'Mr. Lawrence Cavendish', 'Japp', 'Summerhaye', 'Mr. Hastings']","['Mary Cavendish', 'Hercule Poirot']"
TheAgeOfInnocence,Q1290,Mrs. Manson Mingott,"You know she's deserted me? Oh, don't ask me why!  She gave so many reasons that
I've forgotten them all.  My private belief is that she couldn't face
the boredom.  At any rate that's what Augusta and my daughters-in-law
think.  And I don't know that I altogether blame her.  Olenski's a
finished scoundrel; but life with him must have been a good deal gayer
than it is in Fifth Avenue.  Not that the family would admit that: they
think Fifth Avenue is Heaven with the rue de la Paix thrown in.  And
poor Ellen, of course, has no idea of going back to her husband.  She
held out as firmly as ever against that.  So she's to settle down in
Paris with that fool Medora....  Well, Paris is Paris; and you can keep
a carriage there on next to nothing.  But she was as gay as a bird, and
I shall miss her.","['Mr. Letterblair', 'Mrs. Augusta Welland', 'Newland Archer', 'Count Olenski', 'The Marchioness', 'Ellen Olenska']","['Newland Archer', 'Ellen Olenska', 'Ellen Olenska', 'Ellen Olenska', 'Ellen Olenska', 'Count Olenski', 'Mrs. Augusta Welland', 'Mr. Letterblair', 'The Marchioness', 'Mrs. Augusta Welland', 'Mr. Letterblair', 'The Marchioness', 'Ellen Olenska', 'Count Olenski', 'Ellen Olenska', 'Ellen Olenska', 'The Marchioness', 'Newland Archer', 'Ellen Olenska', 'Ellen Olenska', 'Newland Archer']","['Mr. Letterblair', 'Newland Archer']"
AlicesAdventuresInWonderland,Q116,Bill,"Well, I hardly know--No more, thank ye; I'm better now--but I'm
a deal too flustered to tell you--all I know is, something comes at me
like a Jack-in-the-box, and up I goes like a sky-rocket!","['The White Rabbit', 'Alice', 'Pat']","['Pat', 'The White Rabbit', 'Pat', 'The White Rabbit']","['The White Rabbit', 'Alice']"
TheSportOfTheGods,Q385,Minty Brown,"Go on away f'om hyeah, I don't want none o'
thievin' Berry Hamilton's fambly to speak to me.","['Sadness', 'Joe Hamilton', 'Griggs']","['Griggs', 'Joe Hamilton']","['Sadness', 'Joe Hamilton']"
OliverTwist,Q2354,Harry The Peddler,"This, this is the infallible and
invaluable composition for removing all sorts of stain, rust, dirt,
mildew, spick, speck, spot, or spatter, from silk, satin, linen,
cambric, cloth, crape, stuff, carpet, merino, muslin, bombazeen, or
woollen stuff. Wine-stains, fruit-stains, beer-stains, water-stains,
paint-stains, pitch-stains, any stains, all come out at one rub with
the infallible and invaluable composition. If a lady stains her honour,
she has only need to swallow one cake and she's cured at once for it's
poison. If a gentleman wants to prove this, he has only need to bolt
one little square, and he has put it beyond question for it's quite as
satisfactory as a pistol-bullet, and a great deal nastier in the
flavour, consequently the more credit in taking it. One penny a square.
With all these virtues, one penny a square!","['Bill Sikes', 'The Grinning Countryman', 'Nance']",['The Grinning Countryman'],"['Bill Sikes', 'The Grinning Countryman', 'Nance']"
SenseAndSensibility,Q403,Anne Steele,Poor little creatures! It might have been a very sad accident.,"['Elinor', 'Lady Middleton', 'John Middleton', 'Charlotte', 'Lucy Steele', 'Marianne']","['Marianne', 'Elinor', 'Lucy Steele']","['John Middleton', 'Lady Middleton', 'Charlotte']"
HardTimes,Q1430,Rachel Gradgrind,"I misdoubt, if there is as many as twenty left in all
this place, who have any trust in the poor dear lad now.","['Louisa Bounderby', 'Young Thomas', 'Cecilia Jupe', 'Thomas Gradgrind']",['Cecilia Jupe'],"['Louisa Bounderby', 'Young Thomas', 'Thomas Gradgrind']"
APassageToIndia,Q910,_unknowable,Listen   Mohammed Latif says    Good morning' next.,"['Dr. Aziz', 'Mohammed Latif', 'Adela Quested', 'Mrs. Moore']","['Mohammed Latif', 'Adela Quested', 'Dr. Aziz', 'Mrs. Moore']","['Adela Quested', 'Dr. Aziz', 'Mrs. Moore']"
AnneOfGreenGables,Q944,Diana Barry,"It's a very fine evening, but oh, I have such news, Anne.
Guess. You can have three guesses.","['Matthew Cuthbert', 'Anne Shirley', 'Marilla Cuthbert']","['Anne Shirley', 'Anne Shirley', 'Anne Shirley']","['Matthew Cuthbert', 'Marilla Cuthbert', 'Anne Shirley']"
TheAgeOfInnocence,Q1228,Mrs. Adeline Archer,"It will never do, my dear Louisa, to let people like Mrs. Lemuel
Struthers think they can step into Regina's shoes.  It is just at such
times that new people push in and get a footing.  It was owing to the
epidemic of chicken-pox in New York the winter Mrs. Struthers first
appeared that the married men slipped away to her house while their
wives were in the nursery.  You and dear Henry, Louisa, must stand in
the breach as you always have.","['Mrs. Beaufort', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Newland Archer', 'Mrs. Lemuel Struthers', 'Mr. Sillerton Jackson', 'Miss Welland']","['Mrs. Van Der Luyden', 'Mrs. Lemuel Struthers', 'Mrs. Beaufort', 'Mrs. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mrs. Van Der Luyden', 'Mr. Van Der Luyden', 'Mrs. Van Der Luyden']","['Mr. Sillerton Jackson', 'Newland Archer', 'Miss Welland']"
TheMysteriousAffairAtStyles,Q207,Alfred Inglethorp,My God! This is terrible! My poor wife! I have only just heard.,"['Mr. Lawrence Cavendish', 'John Cavendish', 'Mrs. Inglethorp', 'Mr. Hastings']","['Mrs. Inglethorp', 'Mr. Hastings']","['Mr. Lawrence Cavendish', 'John Cavendish', 'Mr. Hastings']"
Persuasion,Q296,Mrs Smith,"By all means, only tell me all about it, when you do come.
Who is your party?","['Captain Wentworth', 'Anne Elliot', 'Lady Russell']","['Anne Elliot', 'Anne Elliot', 'Anne Elliot']","['Captain Wentworth', 'Anne Elliot', 'Lady Russell']"
TheSportOfTheGods,Q518,Sadness,"Oh, let him alone, Skaggsy, he don't know what he 's saying.","['Joe Hamilton', 'Mr. Skaggs']","['Joe Hamilton', 'Mr. Skaggs', 'Joe Hamilton', 'Joe Hamilton', 'Mr. Skaggs', 'Joe Hamilton']","['Joe Hamilton', 'Mr. Skaggs']"
ThePictureOfDorianGray,Q485,Dorian Gray,"My dear Harry, my dear Basil, you must both congratulate me! I have never been so
happy. Of course, it is sudden all really delightful things are. And
yet it seems to me to be the one thing I have been looking for all my
life.","['Basil Hallward', 'Henry', 'Lord Henry']","['Henry', 'Basil Hallward', 'Basil Hallward', 'Basil Hallward', 'Lord Henry', 'Basil Hallward', 'Lord Henry']","['Basil Hallward', 'Lord Henry']"
WinnieThePooh,Q777,Winnie-the-pooh,"Here I am,","['Owl', 'Christopher Robin - Story']","['Christopher Robin - Story', 'Owl']","['Owl', 'Christopher Robin - Story']"
HardTimes,Q1542,Thomas Gradgrind,How was this done?,"['_group', 'Young Thomas', 'Mr. Sleary', 'Louisa Bounderby', 'Cecilia Jupe']","['Louisa Bounderby', 'Young Thomas', 'Cecilia Jupe']","['_group', 'Mr. Sleary']"
WhereAngelsFearToTread,Q892,Perfetta,"I will be as quick as I can, But there are many streets
in Monteriano; he is sometimes difficult to find. I could not find him
this morning.","['Caroline Abbott', 'Harriet', 'Mr. Herriton', 'Signor Carella']","['Signor Carella', 'Signor Carella', 'Mr. Herriton']","['Caroline Abbott', 'Mr. Herriton', 'Harriet']"
Persuasion,Q134,Charles Hayter,"Walter, why do you not do as you are bid?  Do
not you hear your aunt speak?  Come to me, Walter, come to cousin
Charles.","['Charles', 'Walter', 'Anne Elliot', 'Captain Wentworth']","['Walter', 'Walter', 'Walter', 'Walter', 'Anne Elliot', 'Walter', 'Captain Wentworth', 'Anne Elliot', 'Walter', 'Charles']","['Captain Wentworth', 'Anne Elliot']"
