novel,anchor_position,target_position,window,state_drifted,quote_id,ear_correct,fa_correct
AlicesAdventuresInWonderland,99,101,3,True,AlicesAdventuresInWonderland_102,0,0
AlicesAdventuresInWonderland,99,101,5,True,AlicesAdventuresInWonderland_102,0,0
AlicesAdventuresInWonderland,99,103,5,True,AlicesAdventuresInWonderland_104,0,0
AlicesAdventuresInWonderland,99,104,5,True,AlicesAdventuresInWonderland_105,0,0
AlicesAdventuresInWonderland,514,519,5,False,AlicesAdventuresInWonderland_520,1,1
AlicesAdventuresInWonderland,516,519,3,False,AlicesAdventuresInWonderland_520,1,1
AlicesAdventuresInWonderland,516,519,5,False,AlicesAdventuresInWonderland_520,1,1
AlicesAdventuresInWonderland,518,519,1,False,AlicesAdventuresInWonderland_520,1,1
AlicesAdventuresInWonderland,518,519,3,False,AlicesAdventuresInWonderland_520,1,1
AlicesAdventuresInWonderland,518,519,5,False,AlicesAdventuresInWonderland_520,1,1
DaisyMiller,20,25,5,False,DaisyMiller_25,0,0
DaisyMiller,50,53,3,False,DaisyMiller_53,0,0
DaisyMiller,50,53,5,False,DaisyMiller_53,0,0
DaisyMiller,50,54,5,False,DaisyMiller_54,1,1
DaisyMiller,59,60,1,False,DaisyMiller_60,1,1
DaisyMiller,59,60,3,False,DaisyMiller_60,1,1
DaisyMiller,59,60,5,False,DaisyMiller_60,1,1
DaisyMiller,65,70,5,False,DaisyMiller_70,1,1
DaisyMiller,72,76,5,False,DaisyMiller_76,1,1
DaisyMiller,87,88,1,True,DaisyMiller_88,0,0
DaisyMiller,87,88,3,True,DaisyMiller_88,0,0
DaisyMiller,87,88,5,True,DaisyMiller_88,0,0
DaisyMiller,96,101,5,False,DaisyMiller_101,0,0
DaisyMiller,102,103,1,True,DaisyMiller_103,0,0
DaisyMiller,102,103,3,True,DaisyMiller_103,0,0
DaisyMiller,102,103,5,True,DaisyMiller_103,0,0
DaisyMiller,102,106,5,True,DaisyMiller_106,1,1
DaisyMiller,104,106,3,True,DaisyMiller_106,1,1
DaisyMiller,104,106,5,True,DaisyMiller_106,1,1
DaisyMiller,104,109,5,True,DaisyMiller_109,1,1
DaisyMiller,116,117,1,False,DaisyMiller_117,1,1
DaisyMiller,116,117,3,False,DaisyMiller_117,1,1
DaisyMiller,116,117,5,False,DaisyMiller_117,1,1
DaisyMiller,116,121,5,False,DaisyMiller_121,1,1
DaisyMiller,122,126,5,False,DaisyMiller_126,1,1
DaisyMiller,122,127,5,False,DaisyMiller_127,1,1
DaisyMiller,154,159,5,False,DaisyMiller_159,1,1
DaisyMiller,174,176,3,False,DaisyMiller_176,1,1
DaisyMiller,174,176,5,False,DaisyMiller_176,1,1
DaisyMiller,175,176,1,False,DaisyMiller_176,1,1
DaisyMiller,175,176,3,False,DaisyMiller_176,1,1
DaisyMiller,175,176,5,False,DaisyMiller_176,1,1
DaisyMiller,203,208,5,False,DaisyMiller_208,0,0
DaisyMiller,205,208,3,False,DaisyMiller_208,0,0
DaisyMiller,205,208,5,False,DaisyMiller_208,0,0
DaisyMiller,221,222,1,False,DaisyMiller_222,1,1
DaisyMiller,221,222,3,False,DaisyMiller_222,1,1
DaisyMiller,221,222,5,False,DaisyMiller_222,1,1
DaisyMiller,223,227,5,False,DaisyMiller_227,1,1
DaisyMiller,223,228,5,False,DaisyMiller_228,1,1
DaisyMiller,233,238,5,False,DaisyMiller_238,1,1
DaisyMiller,237,238,1,False,DaisyMiller_238,1,1
DaisyMiller,237,238,3,False,DaisyMiller_238,1,1
DaisyMiller,237,238,5,False,DaisyMiller_238,1,1
DaisyMiller,281,284,3,False,DaisyMiller_284,1,1
DaisyMiller,281,284,5,False,DaisyMiller_284,1,1
DaisyMiller,283,284,1,False,DaisyMiller_284,1,1
DaisyMiller,283,284,3,False,DaisyMiller_284,1,1
DaisyMiller,283,284,5,False,DaisyMiller_284,1,1
DaisyMiller,315,317,3,False,DaisyMiller_317,1,1
DaisyMiller,315,318,3,False,DaisyMiller_318,1,1
DaisyMiller,315,317,5,False,DaisyMiller_317,1,1
DaisyMiller,315,318,5,False,DaisyMiller_318,1,1
DaisyMiller,315,319,5,False,DaisyMiller_319,1,1
DaisyMiller,315,320,5,False,DaisyMiller_320,1,1
DaisyMiller,339,343,5,False,DaisyMiller_343,0,0
DaisyMiller,350,352,3,False,DaisyMiller_352,1,1
DaisyMiller,350,352,5,False,DaisyMiller_352,1,1
DaisyMiller,350,354,5,False,DaisyMiller_354,1,1
DaisyMiller,351,352,1,False,DaisyMiller_352,1,1
DaisyMiller,351,352,3,False,DaisyMiller_352,1,1
DaisyMiller,351,354,3,False,DaisyMiller_354,1,1
DaisyMiller,351,352,5,False,DaisyMiller_352,1,1
DaisyMiller,351,354,5,False,DaisyMiller_354,1,1
DaisyMiller,368,371,3,True,DaisyMiller_371,1,1
DaisyMiller,368,371,5,True,DaisyMiller_371,1,1
DaisyMiller,370,371,1,False,DaisyMiller_371,1,1
DaisyMiller,370,371,3,False,DaisyMiller_371,1,1
DaisyMiller,370,371,5,False,DaisyMiller_371,1,1
DaisyMiller,375,376,1,False,DaisyMiller_376,1,1
DaisyMiller,375,376,3,False,DaisyMiller_376,1,1
DaisyMiller,375,376,5,False,DaisyMiller_376,1,1
DaisyMiller,402,405,3,False,DaisyMiller_405,1,1
DaisyMiller,402,405,5,False,DaisyMiller_405,1,1
DaisyMiller,402,406,5,False,DaisyMiller_406,1,1
DaisyMiller,402,407,5,False,DaisyMiller_407,1,1
DaisyMiller,418,422,5,False,DaisyMiller_422,0,0
DaisyMiller,420,422,3,False,DaisyMiller_422,0,0
DaisyMiller,420,422,5,False,DaisyMiller_422,0,0
DaisyMiller,424,428,5,False,DaisyMiller_428,0,0
DaisyMiller,432,435,3,False,DaisyMiller_435,1,1
DaisyMiller,432,435,5,False,DaisyMiller_435,1,1
DaisyMiller,432,437,5,False,DaisyMiller_437,1,1
DaisyMiller,434,435,1,False,DaisyMiller_435,1,1
DaisyMiller,434,435,3,False,DaisyMiller_435,1,1
DaisyMiller,434,437,3,False,DaisyMiller_437,1,1
DaisyMiller,434,435,5,False,DaisyMiller_435,1,1
DaisyMiller,434,437,5,False,DaisyMiller_437,1,1
DaisyMiller,434,438,5,False,DaisyMiller_438,1,1
DaisyMiller,436,437,1,False,DaisyMiller_437,1,1
DaisyMiller,436,437,3,False,DaisyMiller_437,1,1
DaisyMiller,436,438,3,False,DaisyMiller_438,1,1
DaisyMiller,436,437,5,False,DaisyMiller_437,1,1
DaisyMiller,436,438,5,False,DaisyMiller_438,1,1
DaisyMiller,436,440,5,False,DaisyMiller_440,1,1
DaisyMiller,439,440,1,False,DaisyMiller_440,1,1
DaisyMiller,439,440,3,False,DaisyMiller_440,1,1
DaisyMiller,439,440,5,False,DaisyMiller_440,1,1
DaisyMiller,439,444,5,False,DaisyMiller_444,1,1
DaisyMiller,464,465,1,False,DaisyMiller_465,1,1
DaisyMiller,464,465,3,False,DaisyMiller_465,1,1
DaisyMiller,464,465,5,False,DaisyMiller_465,1,1
DaisyMiller,464,469,5,False,DaisyMiller_469,1,1
DaisyMiller,468,469,1,False,DaisyMiller_469,1,1
DaisyMiller,468,469,3,False,DaisyMiller_469,1,1
DaisyMiller,468,470,3,False,DaisyMiller_470,1,1
DaisyMiller,468,469,5,False,DaisyMiller_469,1,1
DaisyMiller,468,470,5,False,DaisyMiller_470,1,1
DaisyMiller,475,476,1,True,DaisyMiller_476,0,0
DaisyMiller,475,476,3,True,DaisyMiller_476,0,0
DaisyMiller,475,476,5,True,DaisyMiller_476,0,0
DaisyMiller,477,481,5,True,DaisyMiller_481,0,1
DaisyMiller,479,481,3,True,DaisyMiller_481,0,1
DaisyMiller,479,481,5,True,DaisyMiller_481,0,1
DaisyMiller,484,485,1,True,DaisyMiller_485,0,0
DaisyMiller,484,485,3,True,DaisyMiller_485,0,0
DaisyMiller,484,485,5,True,DaisyMiller_485,0,0
DaisyMiller,488,490,3,False,DaisyMiller_490,0,1
DaisyMiller,488,491,3,False,DaisyMiller_491,1,1
DaisyMiller,488,490,5,False,DaisyMiller_490,0,1
DaisyMiller,488,491,5,False,DaisyMiller_491,1,1
DaisyMiller,488,493,5,False,DaisyMiller_493,1,1
DaisyMiller,492,493,1,False,DaisyMiller_493,1,1
DaisyMiller,492,493,3,False,DaisyMiller_493,1,1
DaisyMiller,492,495,3,False,DaisyMiller_495,1,1
DaisyMiller,492,493,5,False,DaisyMiller_493,1,1
DaisyMiller,492,495,5,False,DaisyMiller_495,1,1
DaisyMiller,492,496,5,False,DaisyMiller_496,1,1
DaisyMiller,492,497,5,False,DaisyMiller_497,1,1
DaisyMiller,494,495,1,False,DaisyMiller_495,1,1
DaisyMiller,494,495,3,False,DaisyMiller_495,1,1
DaisyMiller,494,496,3,False,DaisyMiller_496,1,1
DaisyMiller,494,497,3,False,DaisyMiller_497,1,1
DaisyMiller,494,495,5,False,DaisyMiller_495,1,1
DaisyMiller,494,496,5,False,DaisyMiller_496,1,1
DaisyMiller,494,497,5,False,DaisyMiller_497,1,1
DaisyMiller,494,498,5,False,DaisyMiller_498,1,1
DaisyMiller,494,499,5,False,DaisyMiller_499,1,1
DaisyMiller,500,503,3,False,DaisyMiller_503,1,1
DaisyMiller,500,503,5,False,DaisyMiller_503,1,1
DaisyMiller,500,504,5,False,DaisyMiller_504,1,1
DaisyMiller,500,505,5,False,DaisyMiller_505,1,1
DaisyMiller,508,513,5,False,DaisyMiller_513,0,0
DaisyMiller,528,529,1,False,DaisyMiller_529,1,1
DaisyMiller,528,529,3,False,DaisyMiller_529,1,1
DaisyMiller,528,530,3,False,DaisyMiller_530,1,1
DaisyMiller,528,529,5,False,DaisyMiller_529,1,1
DaisyMiller,528,530,5,False,DaisyMiller_530,1,1
PrideAndPrejudice,41,45,5,True,PrideAndPrejudice_45,0,0
PrideAndPrejudice,41,46,5,True,PrideAndPrejudice_46,1,1
PrideAndPrejudice,80,82,3,False,PrideAndPrejudice_82,1,1
PrideAndPrejudice,80,82,5,False,PrideAndPrejudice_82,1,1
PrideAndPrejudice,80,85,5,False,PrideAndPrejudice_85,0,0
PrideAndPrejudice,81,82,1,False,PrideAndPrejudice_82,1,1
PrideAndPrejudice,81,82,3,False,PrideAndPrejudice_82,1,1
PrideAndPrejudice,81,82,5,False,PrideAndPrejudice_82,1,1
PrideAndPrejudice,81,85,5,False,PrideAndPrejudice_85,0,0
PrideAndPrejudice,122,123,1,True,PrideAndPrejudice_123,0,0
PrideAndPrejudice,122,123,3,True,PrideAndPrejudice_123,0,0
PrideAndPrejudice,122,125,3,True,PrideAndPrejudice_125,0,0
PrideAndPrejudice,122,123,5,True,PrideAndPrejudice_123,0,0
PrideAndPrejudice,122,125,5,True,PrideAndPrejudice_125,0,0
PrideAndPrejudice,122,126,5,True,PrideAndPrejudice_126,0,0
PrideAndPrejudice,122,127,5,True,PrideAndPrejudice_127,0,0
PrideAndPrejudice,143,144,1,True,PrideAndPrejudice_144,0,0
PrideAndPrejudice,143,144,3,True,PrideAndPrejudice_144,0,0
PrideAndPrejudice,143,146,3,True,PrideAndPrejudice_146,0,0
PrideAndPrejudice,143,144,5,True,PrideAndPrejudice_144,0,0
PrideAndPrejudice,143,146,5,True,PrideAndPrejudice_146,0,0
PrideAndPrejudice,143,147,5,True,PrideAndPrejudice_147,1,1
PrideAndPrejudice,143,148,5,True,PrideAndPrejudice_148,1,1
PrideAndPrejudice,198,200,3,True,PrideAndPrejudice_200,0,0
PrideAndPrejudice,198,200,5,True,PrideAndPrejudice_200,0,0
PrideAndPrejudice,198,203,5,True,PrideAndPrejudice_203,0,0
PrideAndPrejudice,213,215,3,False,PrideAndPrejudice_215,1,1
PrideAndPrejudice,213,216,3,False,PrideAndPrejudice_216,1,1
PrideAndPrejudice,213,215,5,False,PrideAndPrejudice_215,1,1
PrideAndPrejudice,213,216,5,False,PrideAndPrejudice_216,1,1
PrideAndPrejudice,213,217,5,False,PrideAndPrejudice_217,1,1
PrideAndPrejudice,232,233,1,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,233,3,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,233,5,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,236,5,False,PrideAndPrejudice_236,1,1
PrideAndPrejudice,232,237,5,False,PrideAndPrejudice_237,1,1
PrideAndPrejudice,478,479,1,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,479,3,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,480,3,True,PrideAndPrejudice_480,1,1
PrideAndPrejudice,478,481,3,True,PrideAndPrejudice_481,0,0
PrideAndPrejudice,478,479,5,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,480,5,True,PrideAndPrejudice_480,1,1
PrideAndPrejudice,478,481,5,True,PrideAndPrejudice_481,0,0
PrideAndPrejudice,478,482,5,True,PrideAndPrejudice_482,0,0
PrideAndPrejudice,478,483,5,True,PrideAndPrejudice_483,0,0
PrideAndPrejudice,521,524,3,True,PrideAndPrejudice_524,0,0
PrideAndPrejudice,521,524,5,True,PrideAndPrejudice_524,0,0
PrideAndPrejudice,521,526,5,True,PrideAndPrejudice_526,0,0
PrideAndPrejudice,742,746,5,True,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,1,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,3,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,5,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,837,839,3,False,PrideAndPrejudice_839,1,1
PrideAndPrejudice,837,840,3,False,PrideAndPrejudice_840,0,0
PrideAndPrejudice,837,839,5,False,PrideAndPrejudice_839,1,1
PrideAndPrejudice,837,840,5,False,PrideAndPrejudice_840,0,0
PrideAndPrejudice,879,881,3,True,PrideAndPrejudice_881,1,1
PrideAndPrejudice,879,881,5,True,PrideAndPrejudice_881,1,1
PrideAndPrejudice,879,883,5,True,PrideAndPrejudice_883,1,1
PrideAndPrejudice,879,884,5,True,PrideAndPrejudice_884,0,0
PrideAndPrejudice,934,935,1,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,935,3,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,936,3,True,PrideAndPrejudice_936,1,1
PrideAndPrejudice,934,937,3,True,PrideAndPrejudice_937,0,0
PrideAndPrejudice,934,935,5,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,936,5,True,PrideAndPrejudice_936,1,1
PrideAndPrejudice,934,937,5,True,PrideAndPrejudice_937,0,0
PrideAndPrejudice,957,958,1,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,957,958,3,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,957,958,5,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,1211,1212,1,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1212,3,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1213,3,False,PrideAndPrejudice_1213,1,1
PrideAndPrejudice,1211,1212,5,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1213,5,False,PrideAndPrejudice_1213,1,1
PrideAndPrejudice,1211,1216,5,False,PrideAndPrejudice_1216,1,1
